playerID,yearID,gameNum,gameID,teamID,lgID,GP,startingPos
gomezle01,1933,0,ALS193307060,NYA,AL,1,1
ferreri01,1933,0,ALS193307060,BOS,AL,1,2
gehrilo01,1933,0,ALS193307060,NYA,AL,1,3
gehrich01,1933,0,ALS193307060,DET,AL,1,4
dykesji01,1933,0,ALS193307060,CHA,AL,1,5
cronijo01,1933,0,ALS193307060,WS1,AL,1,6
chapmbe01,1933,0,ALS193307060,NYA,AL,1,7
simmoal01,1933,0,ALS193307060,CHA,AL,1,8
ruthba01,1933,0,ALS193307060,NYA,AL,1,9
dickebi01,1933,0,ALS193307060,NYA,AL,0,
ferrewe01,1933,0,ALS193307060,CLE,AL,0,
foxxji01,1933,0,ALS193307060,PHA,AL,0,
hildeor01,1933,0,ALS193307060,CLE,AL,0,
lazzeto01,1933,0,ALS193307060,NYA,AL,0,
averiea01,1933,0,ALS193307060,CLE,AL,1,
crowdal01,1933,0,ALS193307060,WS1,AL,1,
grovele01,1933,0,ALS193307060,PHA,AL,1,
westsa01,1933,0,ALS193307060,SLA,AL,1,
hallabi01,1933,0,ALS193307060,SLN,NL,1,1